,Unnamed: 0,UserId,Text,Date,ProductId,Helpfullness,Sarcasm,Product,Sentiment
91,91,1309363307342712834,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
92,92,1309363255186321409,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
93,93,1309361732477808645,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
94,94,1309361512562081792,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
95,95,1309361264586563584,@PatsyStoned2 @2020eScribbles @jlwallen @amazon I used to do that damn bus ride. Not fun. I make a little more mone… https://t.co/kfTdXOOOed,2020-09-25,B001E4KFG0,1,1,,-1
96,96,1309361170646614018,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
97,97,1309361105257541633,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
98,98,1309361038916083713,@kavena86 @nytimes @dgelles Yeah Whole Foods business model is to buy up smaller grocery stores so I have NO idea h… https://t.co/SguNWgwDV2,2020-09-25,B001E4KFG0,1,1,,1
99,99,1309360219470921729,@lonergina Selling Whole Foods to amazon made it legal to borrow anything from any Whole Foods without consequence :-),2020-09-25,B001E4KFG0,1,1,,1
100,100,1309360105884917760,It’s chaos https://t.co/nYHtWEl4Fv,2020-09-25,B001E4KFG0,1,1,,0
101,101,1309359855946403841,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
102,102,1309359372250669056,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
103,103,1309359163739430912,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
104,104,1309359019325353985,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
105,105,1309358422454865920,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
106,106,1309358352149999618,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
107,107,1309358247300730880,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
108,108,1309358023442268161,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
109,109,1309357643501203457,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
110,110,1309357558055010305,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
111,111,1309357337082093568,"Whole Foods is owned by Amazon, overpriced as hell, and they cut their part time workers medical benefits last year… https://t.co/Cujfx0mUSg",2020-09-25,B001E4KFG0,1,1,,1
112,112,1309357223315869696,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
113,113,1309357203531468801,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
114,114,1309357092025765888,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
