id,A,B,C,D,E,F,G,H,I,J,K
15293,100,80,70,70,90,80,90,70,80,80,70
15294,100,80,70,70,90,80,90,70,80,80,110
15295,100,80,70,70,90,70,90,80,70,70,60
15296,100,70,70,70,90,70,90,80,80,80,60
15297,100,70,70,70,80,70,80,80,70,70,60
15298,90,70,70,60,80,70,80,80,70,70,60
15299,90,70,70,60,80,70,80,50,70,70,60
15300,90,60,70,60,70,70,80,50,70,70,60
15301,90,60,70,60,70,60,80,50,50,50,60
15302,90,60,70,60,70,60,80,50,50,50,50
15303,80,60,60,60,70,60,80,50,50,50,50
15304,80,60,60,60,70,60,80,50,50,50,50
15305,90,60,60,60,70,60,80,50,40,40,50
15306,90,60,60,60,70,50,80,50,50,50,50
15307,60,50,50,50,60,40,30,50,50,50,50
15308,60,50,50,50,60,40,30,50,50,50,50
15309,60,50,50,50,50,40,30,50,60,60,50
15310,60,50,50,40,50,40,30,50,60,60,50
15311,60,50,50,40,50,40,30,50,50,50,50
15312,60,50,50,40,50,40,30,50,60,60,50
15313,60,50,50,40,50,40,30,50,60,60,50
15314,60,50,50,40,50,40,30,50,60,60,50
15315,60,50,50,40,50,40,30,50,60,60,50
15316,60,50,50,40,50,40,30,50,60,60,50
15317,60,50,50,40,50,40,30,50,60,60,50
15318,60,50,50,40,50,40,30,50,60,60,50
15319,60,50,50,40,50,40,40,50,60,60,50
15320,60,50,50,40,50,40,40,50,50,50,50
15321,60,50,50,40,50,40,40,50,50,50,50
15322,60,50,50,40,50,40,40,50,50,50,50
15323,60,50,50,40,50,40,40,50,60,60,50
15324,60,50,50,40,50,40,40,50,50,50,50
15325,60,50,50,40,50,40,40,50,50,50,50
15326,60,50,50,40,60,40,40,50,50,50,50
15327,60,60,50,40,60,40,40,50,50,50,50
15328,60,60,50,40,60,40,40,50,50,50,50
15329,60,60,50,40,60,40,40,50,50,50,50
15330,60,60,50,40,60,40,40,50,50,50,50
15331,60,60,50,40,60,40,40,50,50,50,50
15332,60,60,50,50,60,40,40,50,50,50,50
15333,60,60,50,50,60,40,50,50,50,50,50
15334,60,60,50,40,60,40,50,50,50,50,50
15335,60,60,60,50,60,40,50,50,50,50,50
15336,60,60,60,50,60,40,50,50,50,50,50
15337,60,60,60,50,60,40,50,40,50,50,50
15338,60,60,60,50,60,40,50,40,50,50,50
15339,60,50,50,50,50,40,50,50,50,50,50
15340,60,60,60,60,70,40,50,50,50,50,50
15341,60,50,50,50,50,40,50,40,50,50,50
15342,60,50,50,50,50,40,50,40,50,50,50
15343,50,50,50,50,60,40,50,50,50,50,50
15344,50,50,50,50,60,40,50,50,50,50,50
15345,60,70,70,60,80,40,50,50,50,50,60
15346,60,50,50,50,60,40,50,50,50,50,50
15347,60,50,50,50,60,40,50,50,50,50,50
15348,60,90,70,60,80,40,50,50,50,50,50
15349,60,80,70,60,70,50,60,60,60,60,60
15350,60,90,70,60,80,50,60,60,60,60,50
15351,70,80,70,70,80,50,60,60,60,60,60
15352,60,80,70,60,80,50,60,60,60,60,60
15353,70,80,70,70,80,50,60,60,60,60,60
15354,60,80,60,60,80,40,60,60,60,60,60
15355,70,70,70,70,80,40,60,60,60,60,90
15356,70,70,70,70,80,40,60,70,70,70,60
15357,70,80,60,60,80,40,60,50,70,70,70
15358,70,70,70,70,80,40,60,50,70,70,60
15359,70,70,70,70,80,40,60,50,70,70,60
15360,70,70,70,60,70,50,60,50,70,70,70
15361,70,70,70,70,70,50,70,50,70,70,70
15362,60,80,70,70,80,60,70,70,70,70,70
15363,60,90,70,70,90,60,70,50,70,70,70
15364,80,80,70,70,90,60,70,70,70,70,70
15365,60,80,70,60,80,60,70,70,70,70,80
15366,60,80,60,60,80,60,70,60,70,70,80
15367,70,70,70,70,80,70,80,60,90,90,80
15368,70,70,60,60,70,70,80,100,90,90,90
15369,80,70,60,60,70,70,80,100,80,80,90
15370,100,80,80,80,90,70,80,80,80,80,90
15371,60,70,70,60,70,70,80,80,80,80,90
15372,70,70,70,60,70,70,80,60,60,60,90
15373,110,80,70,70,80,70,80,50,90,90,90
15374,70,70,60,60,70,70,90,40,60,60,70
15375,60,70,60,60,70,70,90,50,60,60,70
15376,100,90,80,70,90,70,90,60,50,50,70
15377,80,80,70,70,70,80,90,60,60,60,70
15378,80,80,80,80,70,80,90,50,60,60,70
15379,120,90,90,80,80,70,90,70,70,70,70
15380,90,80,70,80,70,70,90,100,70,70,70
15381,130,80,80,80,70,70,90,100,70,70,70
15382,130,90,90,90,80,70,90,100,70,70,70
15383,110,90,80,80,70,70,90,100,70,70,70
15384,100,80,80,80,70,70,90,100,70,70,70
15385,100,90,80,80,80,70,90,100,70,70,70
15386,110,80,80,80,80,70,90,100,120,120,70
15387,110,80,80,80,80,70,90,80,120,120,70
15388,90,80,70,70,70,60,90,80,120,120,70
15389,80,80,70,70,70,60,90,60,70,70,70
15390,90,70,70,70,70,60,90,100,60,60,70
15391,90,70,70,70,70,70,90,80,60,60,70
15392,90,70,70,70,80,70,90,80,60,60,70
15393,90,70,70,70,70,70,90,80,100,100,70
15394,90,70,70,70,80,70,90,60,100,100,70
